RunNumber,BeamEnergy,Threshold,GearGeoFile,Comment
#484,0.0,7.0,gear_mimosa_fei4-ref,mixed-multipleDC
488,5.0,7.0,gear_mimosa_fei4-ref,standard-multipleDC
489,5.0,7.0,gear_mimosa_fei4-ref,standard-multipleDC
490,5.0,7.0,gear_mimosa_fei4-ref,standard-TrigID-DC
491,5.0,7.0,gear_mimosa_fei4-ref,mixed-TrigID-DC
492,5.0,7.0,gear_mimosa_fei4-ref,mixed-TrigID-DC
494,5.0,7.0,gear_mimosa_fei4-ref,mixed-TrigID-DC
495,5.0,7.0,gear_mimosa_fei4-ref,standard-EvtID-DC
496,5.0,7.0,gear_mimosa_fei4-ref,standard-multipleDC
497,5.0,7.0,gear_mimosa_fei4-ref,mixed-multipleDC
498,6.0,7.0,gear_mimosa_fei4-ref,mixed-multipleDC
499,2.0,7.0,gear_mimosa_fei4-ref,mixed-multipleDC
500,2.0,7.0,gear_mimosa_fei4-ref,standard-multipleDC
501,2.0,7.0,gear_mimosa_fei4-ref,standard-TrigID-DC
502,2.0,7.0,gear_mimosa_fei4-ref,standard-EvtID-DC
503,2.0,7.0,gear_mimosa_fei4-ref,standard-EvtID-DC-EUDET-TLU-woFEI4
504,2.0,7.0,gear_mimosa_fei4-ref,standard-TrigID-DC-EUDET-TLU-woFEI4
